area,target
13892.0,17
15075.0,17
15088.5,17
15146.0,17
15157.5,17
15182.5,17
15207.5,17
15224.5,17
15233.5,17
15405.5,17
15432.5,17
15433.0,17
15458.0,18
15458.0,18
15542.5,18
15590.5,18
15622.5,18
15632.5,18
15832.5,19
15883.5,19
15891.0,19
16011.0,19
16044.5,19
16060.0,19
16169.0,19
16266.0,19
16301.5,19
16359.5,19
16473.5,19
16489.5,19
16502.5,19
16540.0,19
16747.5,19
16850.0,19
16856.0,19
16884.5,19
16894.5,21
17005.5,21
17029.5,21
17055.5,21
17145.0,21
17403.0,22
17404.5,22
17460.5,22
17639.5,22
18178.0,22
18408.0,22
18697.0,22
19366.0,22
19470.5,22
19732.5,22
19809.5,22
19864.0,22
20192.5,22
20423.0,22
20570.0,22
20693.0,22
20739.0,22
20902.0,23
21091.0,23
21617.0,23
21656.0,23
22862.5,23
23114.5,23
23141.5,23
25146.0,23
27134.5,23
28456.5,23
